country,year,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,population,Code,gdp_per_capita,renewable_energy_consumption,co2_per_capita_growth,co2_growth,gdp_growth,renewable_growth,renewable_share,co2_intensity_gdp,population_growth,fossil_dependency,cumulative_co2,log_gdp_per_capita,cluster,Cluster
Algeria,1991,78.807,3.032,2.689,26.066,38.428,25987891,DZA,11314.864,0.26082626,0.002645502645502562,0.02696187025984531,-0.03527137976011696,1.1905896602987784,0.0032987660384430047,0.006964909167268825,0.02412270702917696,99.99670123396156,155.54500000000002,9.333872538552187,0,0
Algeria,1992,79.883,3.0,2.378,28.678,31.932,26628518,DZA,11241.415,0.17263989,-0.01055408970976257,0.013653609450936965,-0.00649137276417977,-0.3381038780374338,0.0021564987830615667,0.007106133880832617,0.0246509807202131,99.99784350121693,235.428,9.327360005203957,0,0
Algeria,1993,81.944,3.004,1.924,27.993,36.098,27276996,DZA,10743.706,0.32912087,0.0013333333333334085,0.025800232840529347,-0.04427458642884374,0.906401064087796,0.00400034502787423,0.007627163289836859,0.02435276345457904,99.99599965497212,317.372,9.282075373718468,0,0
Algeria,1994,88.608,3.177,2.286,30.45,37.386,27887227,DZA,10414.035,0.15274073,0.057589880159786944,0.08132383090891349,-0.030685035498923763,-0.5359129610954176,0.0017208140529676264,0.008508517591884415,0.022371635058347383,99.99827918594703,405.98,9.250909694577578,0,0
Algeria,1995,96.777,3.399,1.935,27.081,47.222,28470152,DZA,10588.443,0.1712212,0.06987724268177531,0.09219257854821228,0.016747399062899238,0.12099241636464608,0.0017661097633424137,0.009139870706202981,0.02090293882572114,99.99823389023666,502.757,9.267518402290394,0,0
Algeria,1996,100.039,3.446,1.407,27.407,50.567,29032996,DZA,10808.879,0.12100656,0.013827596351868143,0.033706355849013825,0.02081854716505549,-0.29327349650627377,0.0012081325087325353,0.009255261345788031,0.019769616965866543,99.99879186749126,602.796,9.288123204978488,0,0
Algeria,1997,88.369,2.988,1.381,30.019,39.007,29579249,DZA,10725.968,0.06994659,-0.13290771909460253,-0.1166545047431502,-0.007670638185513945,-0.4219603466126134,0.0007909025683477445,0.00823879019590586,0.018814902878090844,99.99920909743165,691.165,9.280422996133609,5,0
Algeria,1998,106.537,3.545,2.11,33.09,54.641,30054098,DZA,11094.888,0.19370805,0.1864123159303881,0.20559245889395616,0.034395030826122275,1.7693708871297371,0.0018149233106300937,0.009602350199479255,0.016053450173802553,99.99818507668937,797.702,9.31423974067852,4,0
Algeria,1999,91.449,3.001,2.173,22.188,50.92,30474312,DZA,11292.037,0.18108313,-0.15345557122708042,-0.1416221594375664,0.017769354679380234,-0.06517498885565154,0.001976241031486228,0.008098538819878114,0.013981920202695841,99.99802375896851,889.1510000000001,9.33185306602405,5,0
Algeria,2000,85.399,2.763,1.96,26.828,38.534,30903850,DZA,11558.221,0.05001067,-0.07930689770076638,-0.06615709302452732,0.02357271765935587,-0.7238247980361285,0.0005852691518353421,0.00738859379830166,0.014095084410765457,99.99941473084816,974.55,9.355152237650103,0,0
Algeria,2001,86.839,2.772,2.096,28.458,41.029,31331173,DZA,11742.595,0.061327934,0.0032573289902280145,0.01686202414548177,0.01595176281886279,0.22629698822271327,0.000705727302278744,0.007395213749601345,0.013827500457062714,99.99929427269772,1061.3890000000001,9.370978108138809,0,0
Algeria,2002,90.692,2.856,2.609,29.495,44.653,31750790,DZA,12213.126,0.048507243,0.030303030303030276,0.04436946533239672,0.040070444394957105,-0.20905140877564865,0.0005345709923143723,0.007425781081763997,0.013392955316419153,99.99946542900769,1152.081,9.410266553993331,0,0
Algeria,2003,94.581,2.939,2.788,31.943,44.027,32175762,DZA,12835.182,0.2143434,0.029061624649860063,0.04288140078507485,0.05093339739555636,3.418791643136675,0.002261117395772839,0.007368886549485624,0.01338461184745321,99.99773888260422,1246.662,9.459945273181333,0,0
Algeria,2004,91.714,2.811,1.924,32.818,41.209,32628233,DZA,13226.765,0.19449507,-0.0435522286492005,-0.030312642073989537,0.030508566220564637,-0.09260061191527236,0.002116181641880517,0.006933970626982486,0.01406247970133534,99.99788381835812,1338.376,9.48999770717887,0,0
Algeria,2005,110.993,3.352,2.363,31.052,61.211,33109211,DZA,13738.496,0.40765893,0.19245819992885083,0.21020781996205584,0.03868905208492013,1.0959859291034988,0.003659394243405307,0.00807897749506205,0.014741159902836198,99.9963406057566,1449.369,9.52795709835851,4,0
